,PatentNumber,PatentAsignee
0,JP2020007234-A,UNIV TOKUSHIMA NAT CORP (UTKU-C)
1,JP2020007234-A,UNIV SAGAMI WOMENS (UYSA-Non-standard)
2,WO2020014654-A1,UNIV INDIANA (INDV-C)
3,WO2020014654-A1,PATTON J T (PATT-Individual)
4,CN110669873-A,UNIV GUIZHOU (UYGZ-C)
5,WO2020006494-A1,HUTCHINSON CANCER RES CENT FRED (CANC-C)
6,WO2020006494-A1,UNIV WASHINGTON (UNIW-C)
7,CN110616198-A,UNIV TSINGHUA (UYQI-C)
8,CN110616198-A,CHINESE ACAD SCI SHANGHAI PASTEUR INST (CHSC-Non-standard)
9,US2019388465-A1,TRIUMPH PHARM INC (TRIU-Non-standard)
10,US2019388465-A1,TRIUMPH PHARM INC (TRIU-Non-standard)
11,CN110596396-A,TIANJIN YIAN BIOTECHNOLOGY CO LTD (TIAN-Non-standard)
12,WO2019240504-A1,AM SCI CO LTD (AMSC-Non-standard)
13,WO2019241213-A1,UNIV COLORADO (COLS-C)
14,WO2019241483-A1,SCRIPPS RES INST (SCRI-C)
15,WO2019241557-A1,UNIV CALIFORNIA (REGC-C)
16,CN110578017-A,SHENZHEN BM LIFE SCI CO LTD (SHEN-Non-standard)
17,CN110578017-A,DONGGUAN MAIDAO BIOTECHNOLOGY CO LTD (DONG-Non-standard)
18,RU2708891-C1,AS RUSSIA EXPERIMENTAL VETERINARY MEDICI (ASEX-Non-standard)
19,CN110540954-A,UNIV HUAZHONG AGRIC (UHZA-C)
20,KR2019134578-A,UNIV CHONBUK NAT IND COOP FOUND (UYCN-C)
21,CN110512027-A,UNIV NANJING AGRIC (UYNA-C)
22,US2019358168-A1,PROFEAT BIOTECHNOLOGY CO LTD (PROF-Non-standard)
23,WO2019224489-A1,UNIV LYON 1 BERNARD CLAUDE (UYLY-Non-standard)
24,WO2019224489-A1,CNRS CENT NAT RECH SCI (CNRS-C)
25,WO2019224489-A1,ECOLE NORMALE SUPERIEURE DE LYON (ECOL-Non-standard)
26,WO2019224489-A1,INSERM INST NAT SANTE & RECH MEDICALE (INRM-C)
27,WO2019224489-A1,UNIV LAVAL (ULVL-C)
28,US2019359629-A1,FORMA THERAPEUTICS INC (FORM-Non-standard)
29,CN110499391-A,CHINESE PEOPLES LIBERATION ARMY DISEASE (CHPE-Non-standard)
30,CN209669259-U,INST ANIMAL SCI CAAS (CAGS-C)
31,WO2019222768-A2,BRIOTECH INC (BRIO-Non-standard)
32,WO2019222349-A1,DANA FARBER CANCER INST INC (DAND-C)
33,WO2019222349-A1,HARVARD COLLEGE (HARD-C)
34,US2019351049-A1,REGENERON PHARM INC (REGN-C)
35,CN110468112-A,HARBIN VETERINARY RES INST CAAS (CAGS-C)
36,CN110468113-A,HARBIN VETERINARY RES INST CAAS (CAGS-C)
37,CN110468237-A,UNIV DAAN GENE CO LTD (UYSY-C)
38,CN110468234-A,XIAMEN AMPLLY BIOTECHNOLOGY CO LTD (XIAM-Non-standard)
39,CN110468234-A,NANJING ANPU PRECISION MEDICAL TESTING (NANJ-Non-standard)
40,CN110452884-A,UNIV HEILONGJIANG BAYI AGRIC (UYON-C)
41,WO2019217967-A1,UNIV KANSAS STATE RES FOUND (UNIV-C)
42,CN110420274-A,JIANGSU AGRI ANIMAL HUSBANDRY VOCATIONAL (JIAN-Non-standard)
43,CN110408726-A,ACAD MILITARY MEDICAL SCI PLA (JSYX-C)
44,CN110404064-A,LUOYANG SAIWEI BIOTECHNOLOGY CO LTD (LUOY-Non-standard)
45,CN110403941-A,UNIV CHINA AGRICULTURAL (UCAG-C)
46,CN110396559-A,MERIEUX DIAGNOSTIC PROD SHANGHAI CO LTD (MERI-Non-standard)
47,US2019330572-A1,MOREHOUSE SCHOOL MEDICINE (MORE-Non-standard)
48,US2019330572-A1,DEVMAR PROD LLC (DEVM-Non-standard)
49,US2019330572-A1,INNOVATIVE ENVIRONMENTAL CO (INNO-Non-standard)
50,WO2019210175-A1,UNIV MISSOURI (UMOR-C)
51,KR2019122283-A,UNIV HALLYM IND ACADEMIC COOP FOUND (UYHM-C)
52,WO2019202285-A1,UK SEC FOR DEFENCE (MINA-C)
53,WO2019202285-A1,PROXIMA CONCEPTS LTD (PROX-Non-standard)
54,WO2019202285-A1,UNIV STRATHCLYDE (UYST-C)
55,CN110361542-A,UNIV YANGZHOU (UYYZ-C)
56,CN110358865-A,LANGFANG NUODAO ZHONGKE MEDICAL TEST LAB CO LTD (LANG-Non-standard)
57,KR2019119391-A,KOREA RES INST BIOSCIENCE & BIOTECHNOLOG (KRIB-C)
58,WO2019197833-A1,UNIV LIVERPOOL (UYLI-C)
59,WO2019196937-A1,UNIV EAST CHINA SCI & TECHNOLOGY (UYEC-C)
60,WO2019196937-A1,UNIV EAST CHINA SCI & TECHNOLOGY (UYEC-C)
61,WO2019199955-A1,TULANE EDUCATIONAL FUND (TULA-C)
62,US2019314372-A1,APROS THERAPEUTICS INC (APRO-Non-standard)
63,CN110331171-A,UNIV HUAZHONG AGRIC (UHZA-C)
64,CN110317256-A,CHINESE ACAD AGRIC SCI BIOTECHNOLOGY RES (CAGS-C)
65,CN110314228-A,SHAANXI NUOWEILIHUA BIOTECHNOLOGY CO LTD (SHAA-Non-standard)
66,CN110305215-A,CSTONE PHARM (CSTO-Non-standard)
67,CN110305215-A,CSTONE PHARM SUZHOU CO LTD (CSTO-Non-standard)
68,CN110305215-A,CSTONE PHARM SHANGHAI CO LTD (CSTO-Non-standard)
69,CN110302192-A,UNIV EAST CHINA NORMAL (UYEN-C)
70,WO2019189827-A1,UNIV OKAYAMA (UYOK-C)
71,WO2019191295-A1,BRISTOL-MYERS SQUIBB CO (BRIM-C)
72,WO2019191295-A1,BRISTOL-MYERS SQUIBB CO (BRIM-C)
73,US2019298752-A1,INVIRSA INC (INVI-Non-standard)
74,US2019298752-A1,INVIRSA INC (INVI-Non-standard)
75,EP3546580-A1,HIPRA SCI SLU (HIPR-Non-standard)
76,CN110283938-A,UNIV SOUTH CHINA AGRIC (USCG-C)
77,WO2019179365-A1,WUXI BIOLOGICS IRELAND LTD (WUXI-Non-standard)
78,WO2019179365-A1,CSTONE PHARM (CSTO-Non-standard)
79,WO2019179365-A1,CSTONE PHARM SUZHOU CO LTD (CSTO-Non-standard)
80,WO2019179365-A1,CSTONE PHARM SHANGHAI CO LTD (CSTO-Non-standard)
81,WO2019182947-A1,PURDUE RES FOUND (PURD-C)
82,WO2019180688-A2,VANESSA RES INC (VANE-Non-standard)
83,CN110272480-A,UNIV JIANGSU SCI & TECHNOLOGY (UYJG-C)
84,CN110257557-A,UNIV SOUTH CHINA AGRIC (USCG-C)
85,CN110256552-A,CHINESE ACAD AGRIC SCI BIOTECHNOLOGY RES (CAGS-C)
86,CN110257357-A,ACAD MILITARY MEDICAL SCI PLA (JSYX-C)
87,WO2019178188-A1,MICROINVESTIGATE LLC (MICR-Non-standard)
88,JP2019156807-A,GH JUNTENDOU (JUNT-Non-standard)
89,JP2019156807-A,UNIV SAITAMA MEDICAL (SAIT-C)
90,WO2019175606-A1,LIVERPOOL SCHOOL TROPICAL MEDICINE (LIVE-Non-standard)
