,PatentNumber,author
0,JP2020007234-A,FUTAKAWA K
1,JP2020007234-A,MAITA A
2,JP2020007234-A,OKUMURA Y
3,WO2020014654-A1,PATTON J T
4,CN110669873-A,HUANG T
5,CN110669873-A,SHI K
6,CN110669873-A,LIU Q
7,CN110669873-A,TANG D
8,CN110669873-A,ZENG Z
9,WO2020006494-A1,BLOOM J
10,WO2020006494-A1,DINGENS A S
11,WO2020006494-A1,DUSENBURY K
12,WO2020006494-A1,RADFORD C
13,CN110616198-A,ZHANG L
14,CN110616198-A,ZHOU D
15,CN110616198-A,JIA W
16,CN110616198-A,ZHANG C
17,CN110616198-A,SHI X
18,US2019388465-A1,BURCH A L
19,CN110596396-A,LIU X
20,CN110596396-A,ZHU Y
21,WO2019240504-A1,KIM K H
22,WO2019240504-A1,LEE A R
23,WO2019240504-A1,KIM D H
24,WO2019241213-A1,BENAM K H
25,WO2019241483-A1,HE L
26,WO2019241483-A1,ZHU J
27,WO2019241557-A1,YANG O O
28,WO2019241557-A1,ARUMUGAM B
29,CN110578017-A,CHE L
30,CN110578017-A,WANG Y
31,RU2708891-C1,SOKOLOVA N A
32,RU2708891-C1,MNIKOVA L A
33,RU2708891-C1,ISHKOVA T A
34,RU2708891-C1,GORBATOV A V
35,RU2708891-C1,LOSHCHININ M N
36,RU2708891-C1,SIMANOVA I N
37,RU2708891-C1,MAKAROVA V N
38,RU2708891-C1,BADEEVA O B
39,RU2708891-C1,KORYUKINA M V
40,CN110540954-A,FANG L
41,CN110540954-A,XIAO S
42,CN110540954-A,WANG X
43,CN110540954-A,LIU K
44,CN110540954-A,WANG D
45,CN110540954-A,FANG P
46,KR2019134578-A,YONGSEOK J
47,KR2019134578-A,KIM J
48,CN110512027-A,SU S
49,CN110512027-A,ZHANG C
50,CN110512027-A,PAN Z
51,CN110512027-A,HE W
52,CN110512027-A,DI X
53,US2019358168-A1,LIN T
54,US2019358168-A1,CHEN M
55,US2019358168-A1,WANG K
56,US2019358168-A1,JAN H
57,WO2019224489-A1,ROSA-CALATRAVA M
58,WO2019224489-A1,TERRIER O
59,WO2019224489-A1,NICOLAS DE LAMBALLERIE C
60,WO2019224489-A1,BOIVIN G
61,WO2019224489-A1,PIZZORNO M A
62,WO2019224489-A1,NICOLAS D L C
63,US2019359629-A1,IOANNIDIS S
64,US2019359629-A1,TALBOT A C
65,US2019359629-A1,FOLLOWS B
66,US2019359629-A1,BUCKMELTER A J
67,US2019359629-A1,WANG M
68,US2019359629-A1,CAMPBELL A
69,US2019359629-A1,LANCIA D R
70,CN110499391-A,SONG H
71,CN110499391-A,HAO R
72,CN110499391-A,GUO X
73,CN110499391-A,QI H
74,CN110499391-A,ZHAO R
75,CN110499391-A,ZHANG Y
76,CN110499391-A,YANG Y
77,CN110499391-A,WU F
78,CN209669259-U,QIN T
79,CN209669259-U,CUI S
80,CN209669259-U,LIANG L
81,WO2019222768-A2,TERRY D J
82,WO2019222768-A2,WILLIAMS J F
83,WO2019222349-A1,YANG P L
84,WO2019222349-A1,GRAY N S
85,WO2019222349-A1,JANG J
86,WO2019222349-A1,WANG J
87,WO2019222349-A1,KWIATKOWSKI N P
88,WO2019222349-A1,LIAN W
89,WO2019222349-A1,LI Z
90,US2019351049-A1,KYRATSOUS C
91,US2019351049-A1,STAHL N
92,US2019351049-A1,SIVAPALASINGAM S
93,CN110468112-A,FENG L
94,CN110468112-A,CHEN J
95,CN110468112-A,ZHU X
96,CN110468112-A,ZHANG X
97,CN110468112-A,SHI H
98,CN110468112-A,SHI D
99,CN110468112-A,LIU J
100,CN110468113-A,FENG L
101,CN110468113-A,CHEN J
102,CN110468113-A,ZHANG X
103,CN110468113-A,ZHU X
104,CN110468113-A,SHI H
105,CN110468113-A,SHI D
106,CN110468113-A,LIU J
107,CN110468237-A,LI M
108,CN110468237-A,HE W
109,CN110468237-A,JIANG X
110,CN110468237-A,ZHOU Q
111,CN110468237-A,GAO X
112,CN110468237-A,XIA Q
113,CN110468237-A,YOU H
114,CN110468237-A,YE A
115,CN110468237-A,WU J
116,CN110468234-A,CHEN Z
117,CN110468234-A,WANG W
118,CN110468234-A,WEI C
119,CN110468234-A,WEI S
120,CN110452884-A,ZHOU Y
121,CN110452884-A,REN Y
122,CN110452884-A,HU L
123,CN110452884-A,CONG Y
124,CN110452884-A,MENG Y
125,CN110452884-A,DI H
126,CN110452884-A,JIA W
127,CN110452884-A,WU R
128,CN110452884-A,HOU X
129,CN110452884-A,ZHU Z
130,CN110452884-A,LI C
131,CN110452884-A,REN D
132,CN110452884-A,LI N
133,CN110452884-A,GAO W
134,CN110452884-A,LI X
135,CN110452884-A,JIN G
136,CN110452884-A,WANG M
137,WO2019217967-A1,ZHANG W
138,WO2019217967-A1,FANG Y
139,CN110420274-A,SU Z
140,CN110420274-A,CHEN W
141,CN110420274-A,HUANG L
142,CN110420274-A,LIANG J
143,CN110420274-A,CHEN J
144,CN110420274-A,CHEN Z
145,CN110408726-A,LIU P
146,CN110408726-A,JIANG Y
147,CN110408726-A,LIU K
148,CN110408726-A,LV Q
149,CN110408726-A,ZHENG Y
150,CN110408726-A,JIANG H
151,CN110408726-A,KONG D
152,CN110404064-A,TIAN K
153,CN110404064-A,LIU Y
154,CN110404064-A,ZHANG X
155,CN110403941-A,WANG X
156,CN110403941-A,XUE Y
157,CN110403941-A,LI C
158,CN110403941-A,YANG D
159,CN110403941-A,LU J
160,CN110396559-A,
161,US2019330572-A1,HAWKINS W
162,US2019330572-A1,REYNOLDS S W
163,US2019330572-A1,LILLARD J W
164,WO2019210175-A1,PRATHER R S
165,WO2019210175-A1,WELLS K D
166,WO2019210175-A1,WHITWORTH K M
167,KR2019122283-A,JU K H
168,KR2019122283-A,PARKBYUNGKWON
169,WO2019202285-A1,WILLIAMSON E D
170,WO2019202285-A1,MOORE B D
171,WO2019202285-A1,NEW R R C
172,CN110361542-A,ZHANG X
173,CN110361542-A,QIAN B
174,CN110361542-A,WU Y
175,CN110361542-A,GUO M
176,CN110361542-A,ZHANG C
177,CN110361542-A,CAO Y
178,CN110361542-A,CHEN Y
179,CN110358865-A,LU M
180,CN110358865-A,PANG T
181,CN110358865-A,WANG W
182,CN110358865-A,MA M
183,CN110358865-A,SUN J
184,CN110358865-A,LI J
185,KR2019119391-A,GWIN J D
186,KR2019119391-A,KWON K H
187,KR2019119391-A,YUN S W
188,KR2019119391-A,DUJIN K
189,KR2019119391-A,HYOUNG K Z
190,KR2019119391-A,PARK S
191,KR2019119391-A,SONG D S
192,WO2019197833-A1,GRIFFITHS M
193,WO2019196937-A1,LI H
194,WO2019196937-A1,XU Y
195,WO2019196937-A1,ZHAO Z
196,WO2019196937-A1,ZHU L
197,WO2019196937-A1,WANG W
198,WO2019196937-A1,QI T
199,WO2019199955-A1,MORICI L A
200,WO2019199955-A1,MCLACHLAN J B
201,WO2019199955-A1,DAVITT C J
202,WO2019199955-A1,KURTZ J R
203,US2019314372-A1,WU T Y
204,CN110331171-A,XIAO S
205,CN110331171-A,FANG L
206,CN110331171-A,PENG Q
207,CN110331171-A,WANG D
208,CN110331171-A,FANG P
209,CN110331171-A,ZHOU Y
210,CN110331171-A,LIU K
211,CN110317256-A,LIU X
212,CN110317256-A,ZHANG Z
213,CN110317256-A,HU X
214,CN110317256-A,LI Y
215,CN110317256-A,YI Y
216,CN110317256-A,WANG P
217,CN110314228-A,DONG J
218,CN110314228-A,CHEN R
219,CN110314228-A,ZHANG L
220,CN110305215-A,CHEN Y
221,CN110305215-A,LI J
222,CN110302192-A,YI Z
223,CN110302192-A,GAO S
224,CN110302192-A,SHAO T
225,CN110302192-A,QIU W
226,CN110302192-A,LIU M
227,WO2019189827-A1,ITO T
228,WO2019189827-A1,OGINO K
