,PatentNumber,IPC
0,JP2020007234-A,A61K-038/07
1,JP2020007234-A,A61P-031/12
2,WO2020014654-A1,A61K-039/12
3,WO2020014654-A1,A61K-039/15
4,CN110669873-A,C12Q-001/686
5,CN110669873-A,C12Q-001/70
6,WO2020006494-A1,C07K-014/005
7,WO2020006494-A1,C07K-014/155
8,CN110616198-A,A61K-039/215
9,CN110616198-A,A61P-031/14
10,US2019388465-A1,A23L-033/16
11,US2019388465-A1,A61K-031/4425
12,CN110596396-A,G01N-033/533
13,CN110596396-A,G01N-033/543
14,WO2019240504-A1,A61K-031/7088
15,WO2019240504-A1,A61P-031/12
16,WO2019241213-A1,A23L-033/10
17,WO2019241213-A1,A61K-031/4245
18,WO2019241483-A1,A61K-039/21
19,WO2019241483-A1,A61K-047/64
20,WO2019241557-A1,A61K-035/17
21,WO2019241557-A1,A61K-035/28
22,CN110578017-A,C12N-015/11
23,CN110578017-A,C12Q-001/04
24,RU2708891-C1,A61K-039/108
25,RU2708891-C1,A61K-039/15
26,CN110540954-A,C12N-005/071
27,CN110540954-A,C12N-007/00
28,KR2019134578-A,A23L-033/18
29,KR2019134578-A,A61K-038/17
30,CN110512027-A,C12N-015/11
31,CN110512027-A,C12Q-001/686
32,US2019358168-A1,A61K-031/295
33,US2019358168-A1,A61K-009/00
34,WO2019224489-A1,A61K-031/554
35,WO2019224489-A1,A61K-009/00
36,US2019359629-A1,A61K-031/519
37,US2019359629-A1,C07D-495/04
38,CN110499391-A,C12N-015/11
39,CN110499391-A,C12Q-001/6844
40,CN209669259-U,C12Q-001/6851
41,CN209669259-U,C12Q-001/70
42,WO2019222768-A2,A61K-033/00
43,WO2019222768-A2,C02F-001/467
44,WO2019222349-A1,A61K-031/165
45,WO2019222349-A1,A61K-031/404
46,US2019351049-A1,A61K-039/12
47,US2019351049-A1,A61K-039/215
48,CN110468112-A,C12N-015/12
49,CN110468112-A,C12N-015/63
50,CN110468113-A,C12N-015/65
51,CN110468113-A,C12N-015/85
52,CN110468237-A,C12N-015/11
53,CN110468237-A,C12Q-001/686
54,CN110468234-A,C12Q-001/04
55,CN110468234-A,C12Q-001/6851
56,CN110452884-A,A61K-039/42
57,CN110452884-A,A61P-031/14
58,WO2019217967-A1,A61K-039/00
59,WO2019217967-A1,A61K-039/108
60,CN110420274-A,A61K-036/87
61,CN110420274-A,A61K-009/08
62,CN110408726-A,C12N-015/11
63,CN110408726-A,C12Q-001/04
64,CN110404064-A,A61K-039/145
65,CN110404064-A,A61K-039/17
66,CN110403941-A,A61K-031/4439
67,CN110403941-A,A61P-031/14
68,CN110396559-A,C12Q-001/04
69,CN110396559-A,C12Q-001/06
70,US2019330572-A1,A01N-025/26
71,US2019330572-A1,C11D-011/00
72,WO2019210175-A1,A61K-039/00
73,WO2019210175-A1,C12N-009/48
74,KR2019122283-A,C07K-016/10
75,KR2019122283-A,G01N-033/532
76,WO2019202285-A1,A61K-039/00
77,WO2019202285-A1,A61K-039/02
78,CN110361542-A,G01N-033/558
79,CN110361542-A,G01N-033/577
80,CN110358865-A,C12N-015/11
81,CN110358865-A,C12Q-001/686
82,KR2019119391-A,A61K-039/215
83,KR2019119391-A,A61P-031/12
84,WO2019197833-A1,C12Q-001/689
85,WO2019197833-A1,C12Q-001/6893
86,WO2019196937-A1,A61K-031/4427
