,PatentNumber,nationality
0,JP2020007234-A,JP
1,WO2020014654-A1,WO
2,CN110669873-A,CN
3,WO2020006494-A1,WO
4,CN110616198-A,CN
5,US2019388465-A1,US
6,US2019388465-A1,WO
7,CN110596396-A,CN
8,WO2019240504-A1,WO
9,WO2019241213-A1,WO
10,WO2019241483-A1,WO
11,WO2019241557-A1,WO
12,CN110578017-A,CN
13,RU2708891-C1,RU
14,CN110540954-A,CN
15,KR2019134578-A,KR
16,CN110512027-A,CN
17,US2019358168-A1,US
18,WO2019224489-A1,WO
19,WO2019224489-A1,FR
20,US2019359629-A1,US
21,CN110499391-A,CN
22,CN209669259-U,CN
23,WO2019222768-A2,WO
24,WO2019222768-A2,WO
25,WO2019222349-A1,WO
26,US2019351049-A1,US
27,CN110468112-A,CN
28,CN110468113-A,CN
29,CN110468237-A,CN
30,CN110468234-A,CN
31,CN110452884-A,CN
32,WO2019217967-A1,WO
33,CN110420274-A,CN
34,CN110408726-A,CN
35,CN110404064-A,CN
36,CN110403941-A,CN
37,CN110396559-A,CN
38,US2019330572-A1,US
39,WO2019210175-A1,WO
40,KR2019122283-A,KR
41,KR2019122283-A,KR
42,WO2019202285-A1,WO
43,WO2019202285-A1,GB
44,CN110361542-A,CN
45,CN110358865-A,CN
46,KR2019119391-A,KR
47,KR2019119391-A,KR
48,WO2019197833-A1,WO
49,WO2019196937-A1,WO
50,WO2019196937-A1,CN
51,WO2019199955-A1,WO
52,US2019314372-A1,US
53,CN110331171-A,CN
54,CN110317256-A,CN
55,CN110314228-A,CN
56,CN110305215-A,CN
57,CN110302192-A,CN
58,WO2019189827-A1,WO
59,WO2019191295-A1,WO
60,WO2019191295-A1,US
61,WO2019191295-A1,US
62,US2019298752-A1,US
63,US2019298752-A1,WO
64,US2019298752-A1,WO
65,EP3546580-A1,EP
66,CN110283938-A,CN
67,WO2019179365-A1,WO
68,WO2019182947-A1,WO
69,WO2019180688-A2,WO
70,WO2019180688-A2,WO
71,CN110272480-A,CN
72,CN110257557-A,CN
73,CN110256552-A,CN
74,CN110257357-A,CN
75,WO2019178188-A1,WO
76,JP2019156807-A,JP
77,WO2019175606-A1,WO
78,US2019282694-A1,US
79,WO2019175605-A1,WO
80,WO2019175436-A1,WO
81,WO2019173602-A1,WO
82,WO2019173756-A1,WO
83,US2019274967-A1,US
84,CN110215456-A,CN
85,KR2018201-B1,KR
86,KR2019008-B1,KR
87,CN110157839-A,CN
88,US2019255085-A1,US
89,CN110144422-A,CN
90,CN110128510-A,CN
91,CN110124027-A,CN
92,CN110105348-A,CN
93,CN110101705-A,CN
94,KR2019092776-A,KR
95,WO2019151632-A1,WO
96,WO2019151632-A1,KR
97,WO2019151632-A1,KR
98,WO2019151632-A1,KR
99,KR2007161-B1,KR
100,CN110093458-A,CN
101,CN110093461-A,CN
102,CN110079637-A,CN
103,CN110079541-A,CN
104,WO2019147050-A1,WO
105,WO2019147050-A1,KR
106,US2019232279-A1,US
107,WO2019147604-A2,WO
108,KR2005685-B1,KR
109,WO2019147831-A1,WO
110,WO2019147831-A1,US
111,RU2696007-C1,RU
112,CN110063954-A,CN
113,WO2019136824-A1,WO
114,AU2019204604-A1,AU
115,WO2019137463-A1,WO
116,WO2019137463-A1,CN
117,RU2694558-C1,RU
118,RU2694499-C1,RU
119,CN110003303-A,CN
120,WO2019135003-A1,WO
121,CN109988865-A,CN
122,CN109970851-A,CN
123,KR2019078174-A,KR
124,KR2019078174-A,KR
125,WO2019133712-A1,WO
126,WO2019126577-A2,WO
127,WO2019126577-A2,WO
128,WO2019121916-A1,WO
129,EP3502698-A1,EP
130,CN109913423-A,CN
131,CN109913584-A,CN
132,KR2019070629-A,KR
133,WO2019118480-A1,WO
134,WO2019110486-A1,WO
135,WO2019113462-A1,WO
136,WO2019110213-A1,WO
137,KR2019063512-A,KR
138,WO2019108877-A1,WO
139,CN109796531-A,CN
140,WO2019099868-A2,WO
141,WO2019099868-A2,WO
142,JP2019077681-A,JP
143,CN109765384-A,CN
144,US2019142792-A1,US
145,CN109735504-A,CN
146,WO2019087092-A1,WO
147,WO2019086646-A1,WO
148,KR2019045050-A,KR
149,WO2019084484-A1,WO
150,WO2019078600-A1,WO
151,WO2019078600-A1,KR
152,WO2019078600-A1,KR
153,WO2019079339-A1,WO
154,WO2019079339-A1,TW
155,US2019119266-A1,US
156,US2019119266-A1,US
157,WO2019079671-A1,WO
158,WO2019079671-A1,TW
159,US2019117702-A1,US
160,CN109666070-A,CN
161,CN109666766-A,CN
162,CN109651488-A,CN
