,Title,PatentNumber,publishDate,language,pages,region,na
0," Mosaic serine protease large-form inhibitor useful for suppressing infection or growth of virus e.g. highly pathogenic influenza viruses, coronavirus and Ebola virus, comprises peptide compound(s).",JP2020007234-A,2020,Japanese,4,World,JP
1," Recombinant rotavirus sed to prevent rotavirus infection, comprises gene segment including nucleotide sequence encoding rotavirus nonstructural protein 3 and nucleotide sequence encoding non rotavirus polypeptide.",WO2020014654-A1,2020,English,4,World,WO
2," Detecting six bovine respiratory syndromes by rapid multiplex PCR system comprises extracting DNA of e.g. Mycoplasma bovis, reverse transcribing e.g. bovine viral diarrhea virus RNA, designing primers, optimizing, amplifying and verifying.",CN110669873-A,2020,Chinese,9,China,CN
3, Creating cell-stored barcoded deep mutational scanning library of variants of viral protein involves obtaining set of barcoded variant nucleotide sequences where set encodes viral protein variants comprising 15 amino acid substitutions.,WO2020006494-A1,2020,English,7,World,WO
4, New recombinant adenovirus obtained by transfecting adenovirus packaging cells having adenovirus E1 gene with recombinant plasmid and carrying out cell culture used for e.g. coronavirus vaccine and medicine for neutralizing coronavirus.,CN110616198-A,2019,Chinese,7,China,CN
5," Inhibiting microbial infection, reducing occurrence and/or microbial infections duration involves delivering oral composition comprising first and second components comprising Eh-raising and zinc compounds respectively in specified amounts.",US2019388465-A1,2019,English,4,World,US
6," Detecting protein by incubating target, labeled antibody and complex, passing mixture through detection and quality control zones, and determining target protein content based on signal strength of detection and quality control zones.",CN110596396-A,2019,Chinese,0,China,CN
7," New modified oligonucleotide that binds to target gene, in which a nucleotide of modified oligonucleotide is locked nucleic acid and oligonucleotide forms quadruplex upon binding to target gene, used to inhibit expression of target gene.",WO2019240504-A1,2019,English,1,World,WO
8," New 2-naphthimidamide-based compound used in pharmaceutical composition for treating or preventing e.g. influenza A or B virus, excludes amino(6-(3-methoxybenzamido)naphthalen-2-yl)methaniminium.",WO2019241213-A1,2019,English,4,World,WO
9," Vaccine composition used in pharmaceutical composition for treating or preventing human immunodeficiency-1 infection in subject, comprises polypeptide immunogen displayed on surface of self-assembling nanoparticle.",WO2019241483-A1,2019,English,2,World,WO
10," New expression vector useful in cells for treating, reducing or inhibiting infection by enveloped virus and for killing cell infected with enveloped virus e.g. immunodeficiency virus in human subject.",WO2019241557-A1,2019,English,2,World,WO
11," New kit useful for synchronously detecting twenty-three respiratory tract pathogens comprising transcription and amplification primers, 2.5x Reaction MIX, diethyl pyrocarbonate water, hot start tapase and reverse transcriptase.",CN110578017-A,2019,Chinese,7,China,CN
12," VACCINE FOR ROTA-, CORONAVIRAL INFECTION AND CATTLE COLIBACILLOSIS.",RU2708891-C1,2019,Russian,0,World,RU
13," New porcine ileal epithelial cell strain IPI-FX susceptible to three porcine intestinal coronaviruses useful in culture, research and development of e.g. porcine epidemic diarrhea virus and porcine transmissible gastroenteritis virus.",CN110540954-A,2019,Chinese,2,China,CN
14, Middle east respiratory syndrome-related corona virus epitope protein comprises amino acid sequence.,KR2019134578-A,2019,,2,World,KR
15," Quintuple real time (RT)-PCR detection method useful for detecting porcine viral diarrhea disease, by designing primer-specific sequences of 5 viruses, preparing cDNA of sample, and detecting amplified products.",CN110512027-A,2019,Chinese,6,JiangSu,CN
16, Inhibiting and/or killing virus by administration of composition including sintered ferrous amino acid particles prepared by sintering ferrous amino acid chelate which contains ferrous ions and amino acid.,US2019358168-A1,2019,English,7,World,US
17, Use of diltiazem or pharmaceutical or veterinary composition comprising diltiazem as activating agent for expression of type-III interferon gene(s) and treating pathogenic microbial infections of epithelia of e.g. respiratory tract.,WO2019224489-A1,2019,French,2,World,WO
18," New thienopyrimidinones derivatives are ubiquitin-specific protease 7 inhibitors used to treat e.g. cancer, neurodegenerative diseases, immunological and inflammatory disorders, cardiovascular diseases and viral and bacterial infections.",US2019359629-A1,2019,English,6,World,US
19," Recombinase polymerase amplification primer and probe set used for detecting respiratory virus, comprises upstream primer, downstream primer and probe for detecting Respiratory syncytial virus type A, Coronavirus NL63 and Adenovirus-7.",CN110499391-A,2019,Chinese,5,China,CN
20," Canine coronavirus fast detection reagent box comprises e.g. packing box, clapboard, micro-fluidic chip A, micro-fluidic chip B, reagent tube base, reagent tube, specification, the clapboard divides packing box into left, middle and right three chambers.",CN209669259-U,2019,Chinese,7,China,CN
21," Inactivation of infectious agent, e.g. resistant virus or cancer-causing virus, by contacting infectious agent with bufferless, electrolyzed, hypohalous acid composition.",WO2019222768-A2,2019,English,0,World,WO
22," Treating or preventing viral infection e.g. hepatitis B, fulminant viral hepatitis, or severe acute respiratory syndrome in human involves administering (cyclohexa-1,3-dien-1-ylmethyl)benzene derivative.",WO2019222349-A1,2019,English,7,World,WO
23," Composition comprises a first anti-Middle East Respiratory Syndrome-Coronavirus spike protein (MERS-CoV-S) antibody or antigen-binding fragment, a second anti-MERS-CoV-S antibody or antigen-binding fragment.",US2019351049-A1,2019,English,9,World,US
24, Expressing and producing transmissible gastroenteritis coronavirus (TGEV) H165 virus useful for rescuing TGEV-H165 virus by using pBeloBAC11 as vector and linear expression construct for reconstructing TGEV-H165 virus particle.,CN110468112-A,2019,Chinese,4,China,CN
